id,source_id,sku,name,slug,brand_id,product_type_id,original_url,source_active,content_hash,first_seen_at,last_seen_at,description
036200ee-465a-479d-8367-bf28b039316c,img:vyr-26,VYR-26,VYR-26,vyr-26,215bba8e-a979-4655-a510-a3b40112eb80,8d40dab7-5976-47eb-a23b-484f9786ed05,https://surerain.com/catalogo?producto=vyr-26,1,9f60c9adec9bc21ac13038e60746bb5b99141ef6b6756b640e8c1d4ae6486ad4,2026-08-13T22:03:21.631Z,2026-08-13T22:15:34.706Z,CARACTERÍSTICAS: • Fabricado en plástico Delrin. • Rosca 1/2″ macho. • Circular. • Eje y muelles en acero inoxidable. • Boquilla de bayoneta en diferentes colores.
cb5357b3-46be-4512-9fe2-6730ea936b5f,img:vyr-80-circular,VYR-80,VYR-80 Circular,vyr-80-circular,215bba8e-a979-4655-a510-a3b40112eb80,8d40dab7-5976-47eb-a23b-484f9786ed05,https://surerain.com/catalogo?producto=vyr-80-circular,1,cb3a79db3f180399fb67488c46b70120d2c7bf84938a06d4c9d1e0fe4b136f1e,2026-08-13T22:03:34.454Z,2026-08-13T22:15:34.706Z,CARACTERÍSTICAS: – Conexión macho de 1/2″. – Fabricado en latón y acero inoxidable. – Placa deflectora regulable. – Tornillo difusor rompechorro regulable. – Circular.
cd5d1f57-9826-452c-bc5d-08305fc65cca,img:vyr-80-sectorizable,VYR-80,VYR-80 Sectorizable,vyr-80-sectorizable,215bba8e-a979-4655-a510-a3b40112eb80,8d40dab7-5976-47eb-a23b-484f9786ed05,https://surerain.com/catalogo?producto=vyr-80-sectorizable,1,32a58b20c8b404ec48669534b17ff6a916a668f70e0b579e6b7659f18c37f6e8,2026-08-13T22:03:34.454Z,2026-08-13T22:15:34.706Z,CARACTERÍSTICAS : – Conexión macho de 1/2″. – Fabricado en latón y acero inoxidable. – Placa deflectora regulable. – Tornillo difusor regulable. – Sectorizable.
fd667e47-45bc-4c77-9b15-d8c4c8afdb5e,img:vyr-37,VYR-37,VYR-37,vyr-37,215bba8e-a979-4655-a510-a3b40112eb80,8d40dab7-5976-47eb-a23b-484f9786ed05,https://surerain.com/catalogo?producto=vyr-37,1,363b45f313fcaffaa988c0784b1a9d1292952fcf8a929cf39927d0a3e6bffa6f,2026-08-13T22:03:34.454Z,2026-08-13T22:15:34.706Z,Características generales: • Aspersor de impacto agrícola de medio caudal. • Conexión macho de 3/4”. • Boquillas de bayoneta “clik” con código de colores.
33ae48b4-5383-4fd5-9e8e-a334205460d6,img:vyr-802,VYR-802,VYR-802,vyr-802,215bba8e-a979-4655-a510-a3b40112eb80,8d40dab7-5976-47eb-a23b-484f9786ed05,https://surerain.com/catalogo?producto=vyr-802,1,a43e9bead60e6e2c28adb178d31d5d3b29e8b43b8f916d1ea451b5510b710db6,2026-08-13T22:03:34.454Z,2026-08-13T22:15:34.706Z,CARACTERÍSTICAS: • Fabricado en plástico delrin. • Rosca 1/2” macho. • Sectorizable. • Brazo antisalpicadura. • Deflector regulable. • Tornillo difusor.
50ff6703-92c1-475f-a6c6-571b315b4200,img:vyr-56,VYR-56,VYR-56,vyr-56,215bba8e-a979-4655-a510-a3b40112eb80,8d40dab7-5976-47eb-a23b-484f9786ed05,https://surerain.com/catalogo?producto=vyr-56,1,7c92d4ff0af9a7b78c9237e2efbb06305f967030fab4c2477d8e430fef6c18e5,2026-08-13T22:03:34.454Z,2026-08-13T22:15:34.706Z,CARACTERÍSTICAS: – Fabricado en plástico delrin. – 3/4” conexión macho. – Circular. – Muelles y eje de acero inox. – Toberas de latón.
4b465a2f-432d-4265-9e82-afb7e6bef814,img:vyr-66,VYR-66,VYR-66,vyr-66,215bba8e-a979-4655-a510-a3b40112eb80,8d40dab7-5976-47eb-a23b-484f9786ed05,https://surerain.com/catalogo?producto=vyr-66,1,ec24bf77f609ab12a46a1aa72f755b7554f626c0cabb6fd6c9d1a17484f81402,2026-08-13T22:03:34.454Z,2026-08-13T22:15:34.706Z,CARACTERÍSTICAS: – Fabricado en plástico delrin. – Conexión 3/4” rosca macho. – Giro completo o por sectores. – Muelles de acero inoxidable. – Toberas y contrapesos de latón. – Se suministra con o sin tornillo difusor.
9b426b5e-80d3-40e3-9384-20995d191a0c,img:vyr-23,VYR-23,VYR-23,vyr-23,215bba8e-a979-4655-a510-a3b40112eb80,8d40dab7-5976-47eb-a23b-484f9786ed05,https://surerain.com/catalogo?producto=vyr-23,1,b7b80d98d273a0fb7bfc2ce000bfb9aa088d1e6ae873a84e15677c3f3589b996,2026-08-13T22:03:34.454Z,2026-08-13T22:15:34.706Z,CARACTERÍSTICAS: – Anti-helada – Angulo bajo – Fabricado en latón – Círculo completo – Eje y muelles de acero inoxidable – También recomendado para pivots – Rosca hembra de ¾”
f8754655-ff61-4e3c-ba7b-2cd149e1f1ed,img:vyr-33-plastico,VYR-33,VYR-33 PLÁSTICO,vyr-33-plastico,215bba8e-a979-4655-a510-a3b40112eb80,8d40dab7-5976-47eb-a23b-484f9786ed05,https://surerain.com/catalogo?producto=vyr-33-plastico,1,37292afcdb7a0381518617658d177d2b015483c1aa17559568a54af047009b17,2026-08-13T22:03:34.454Z,2026-08-13T22:15:34.706Z,CARACTERÍSTICAS: – Anti-helada – Fabricado en plástico y acero inoxidable – Círculo completo – Eje y muelles de acero inoxidable – Rosca macho de ¾»
faf9ea24-77f5-40eb-b88a-b6c964ed32c7,img:vyr-33,VYR-33,VYR-33,vyr-33,215bba8e-a979-4655-a510-a3b40112eb80,8d40dab7-5976-47eb-a23b-484f9786ed05,https://surerain.com/catalogo?producto=vyr-33,1,4dfc61f859612ce0441ae986286023b6e68b722223c0939d4caa04c6f9304cc9,2026-08-13T22:03:34.454Z,2026-08-13T22:15:34.706Z,CARACTERÍSTICAS: – Anti-helada – Fabricado en latón – Círculo completo – Eje y muelles de acero inoxidable – Rosca hembra de ¾”
a03a2cdd-500d-44a9-a0c3-f996cc01b7a7,img:vyr-60,VYR-60,VYR-60,vyr-60,215bba8e-a979-4655-a510-a3b40112eb80,8d40dab7-5976-47eb-a23b-484f9786ed05,https://surerain.com/catalogo?producto=vyr-60,1,91131dd6fd1fb00aaedf5c962eeb00a6a3fb92b824a43957edec9dc39c9d3213,2026-08-13T22:03:34.454Z,2026-08-13T22:15:34.706Z,CARACTERÍSTICAS: – Círculo completo o por sectores. – Conexión macho 3/4”. – Arandelas reguladoras del sector de cobertura. – Fabricado en latón. – Eje y muelles de acero inoxidable.
26dde3a6-58a5-45b3-8d57-66247dab18e9,img:vyr-86,VYR-86,VYR-86,vyr-86,215bba8e-a979-4655-a510-a3b40112eb80,8d40dab7-5976-47eb-a23b-484f9786ed05,https://surerain.com/catalogo?producto=vyr-86,1,2293ebcc5a01cb191b6cea966a9afec89482ff7e8060aa6a5e4c69554f487668,2026-08-13T22:03:34.454Z,2026-08-13T22:15:34.706Z,CARACTERÍSTICAS: – Fabricado en plástico delrin. – 1” conexión hembra. – Circular. – Muelles y eje de acero inox. – Toberas de latón
34032742-afbb-4bf6-b8c9-b81665d5b59c,img:vyr-166,VYR-166,VYR-166,vyr-166,215bba8e-a979-4655-a510-a3b40112eb80,8d40dab7-5976-47eb-a23b-484f9786ed05,https://surerain.com/catalogo?producto=vyr-166,1,95a79efa56fa941a30a67d184600a2a45811f35be9e4a4a2a3748fbffb737e44,2026-08-13T22:03:34.454Z,2026-08-13T22:15:34.706Z,CARACTERÍSTICAS: – Fabricado en plástico – Rosca hembra de 1” – Giro completo o por sectores – Eje y muelle de acero inoxidable – Toberas de latón
